Site;Vegetation Class (Age/Fire);Drought Treatment;Plot #;GPS Location;Species;Plant Individual Number;TOMST_Logger_Number;Distance To Focal Individual (cm);Was there a neighbour plant?;Neighbour species;Deployment Date;Retrieval Date;Notes;;;;;;;;;;;
Lygra;Old;0;9,3;;Vaccium myrtillus;5;94195246;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
Lygra;Old;0;9,3;;Empetrum Negrum;2;94195224;;;;4/21/2023;6/1/2023;;;;;;;;;;;;
;Young;0;1,1;;Control;;95221055;;;;;6/1/2023;;;;;;;;;;;;
;Young;90;1,2;;Control;;95221020;;;;;6/1/2023;;;;;;;;;;;;
;Young;50;1,3;;Control;;95221057;;;;;6/1/2023;;;;;;;;;;;;
;Young;90;2,1;;Control;;95221038;;;;;6/1/2023;;;;;;;;;;;;
;Young;0;2,2;;Control;;94195267;;;;;6/1/2023;;;;;;;;;;;;
;Young;50;2,3;;Control;;95221047;;;;;6/1/2023;;;;;;;;;;;;
;Young;0;3,1;;Control;;94195233;;;;;6/1/2023;;;;;;;;;;;;
;Young;50;3,2;;Control;;95221058;;;;;6/1/2023;;;;;;;;;;;;
;Young;90;3,3;;Control;;95221008;;;;;6/1/2023;;;;;;;;;;;;
;Middle;90;4,1;;Control;;94195240;;;;;6/1/2023;;;;;;;;;;;;
;Middle;50;4,2;;Control;;95221060;;;;;6/1/2023;;;;;;;;;;;;
;Middle;0;4,3;;Control;;95221022;;;;;6/1/2023;;;;;;;;;;;;
;Middle;0;5,1;;Control;;95221009;;;;;6/1/2023;;;;;;;;;;;;
;Middle;90;5,2;;Control;;95521026;;;;;6/1/2023;;;;;;;;;;;;
;Middle;50;5,3;;Control;;95221042;;;;;6/1/2023;;;;;;;;;;;;
;Middle;50;6,1;;Control;;95221032;;;;;6/1/2023;;;;;;;;;;;;
;Middle;0;6,2;;Control;;95221050;;;;;6/1/2023;;;;;;;;;;;;
;Middle;90;6,3;;Control;;94194604;;;;;6/1/2023;;;;;;;;;;;;
;Old;90;7,1;;Control;;94200499;;;;;6/1/2023;;;;;;;;;;;;
;Old;50;7,2;;Control;;94195203;;;;;6/1/2023;;;;;;;;;;;;
;Old;0;7,3;;Control;;94195257;;;;;6/1/2023;;;;;;;;;;;;
;Old;90;8,1;;Control;;94195260;;;;;6/1/2023;;;;;;;;;;;;
;Old;50;8,2;;Control;;94200494;;;;;6/1/2023;;;;;;;;;;;;
;Old;0;8,3;;Control;;94195238;;;;;6/1/2023;;;;;;;;;;;;
;Old;90;9,1;;Control;;94194652;;;;;6/1/2023;;;;;;;;;;;;
;Old;50;9,2;;Control;;94195259;;;;;6/1/2023;;;;;;;;;;;;
;Old;0;9,3;;Control;;94195244;;;;;6/1/2023;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
